#	genotype	transfection	pair	slice	animal	id	peak	decay	charge	rise	dt50	fwhm
48	WT	-	24	17	5	11-03-20 s0 p1	170.4194	92.2593	21.1788	4.13561	34.8783	41.9991
49	WT	+	25	18	5	11-03-20 s1 p2	91.6094	89.0615	6.51789	3.25337	29.227	35.2207
50	WT	-	25	18	5	11-03-20 s1 p2	119.9912	63.8579	10.7944	3.06514	30.7018	36.4554
51	WT	+	26	18	5	11-03-20 s1 p0	109.0126	56.5803	8.52528	3.16264	24.1148	29.4682
52	WT	-	26	18	5	11-03-20 s1 p0	131.6676	72.5035	9.95941	3.2935	26.4682	32.659
53	WT	+	27	15	4	10-03-20 s0 p0	42.7966	72.8615	4.69931	3.83908	28.5472	34.6462
54	WT	-	27	15	4	10-03-20 s0 p0	63.9964	85.7635	7.96889	3.66248	31.7932	39.6084
55	WT	+	28	14	4	10-03-20 s1 p1	146.3928	91.2683	15.9963	3.33688	35.2309	41.7296
56	WT	-	28	14	4	10-03-20 s1 p1	115.6332	80.8028	12.1412	2.92313	32.1513	38.4847
57	WT	+	29	14	4	10-03-20 s1 p0	80.7522	81.5408	9.12822	3.96142	33.4908	40.8831
58	WT	-	29	14	4	10-03-20 s1 p0	146.4126	69.2177	12.6949	3.62833	30.8233	36.9248
59	WT	+	30	13	4	10-03-20 s0 p1	65.4376	96.5417	9.71913	4.01365	35.3996	44.0209
60	WT	-	30	13	4	10-03-20 s0 p1	40.5756	56.2748	4.34286	4.4476	24.6233	31.7999
61	WT	+	31	13	4	10-03-20 s0 p0	42.4254	90.9436	5.34124	4.02196	34.9663	42.7526
62	WT	-	31	13	4	10-03-20 s0 p0	68.2558	104.284	8.97018	4.49904	31.9639	40.5759
63	WT	+	32	16	4	10-03-20 s1 p1	169.2408	87.4176	22.1303	4.5342	36.9858	44.7087
64	WT	-	32	16	4	10-03-20 s1 p1	130.2462	83.2937	13.2663	4.11784	34.2975	41.1875
65	WT	+	33	16	4	10-03-20 s1 p0	80.49	108.697	9.96154	4.22584	23.1194	30.4378
66	WT	-	33	16	4	10-03-20 s1 p0	164.0658	76.6942	16.0818	3.78074	30.4947	37.4762
67	HET	-	34	6	5	30-08-17 a1 s0 p1 clamp2	16.90018	157.889	2.28004	4.16367	31.0264	38.5114
68	HET	+	34	6	5	30-08-17 a1 s0 p1 clamp2	33.2392	93.3132	2.46287	3.84954	30.8326	37.2256
69	HET	-	35	6	5	30-08-17 a1 s0 p0 clamp2	16.97312	207.279	2.19622	4.43352	33.1139	40.8712
70	HET	+	35	6	5	30-08-17 a1 s0 p0 clamp2	27.6106	114.35	4.93806	5.21024	60.6559	71.8563
71	HET	+	36	7	5	30-08-17 a1 s1 p1 clamp1	48.3242	68.6655	5.86904	3.6241	32.787	40.4577
72	HET	-	36	7	5	30-08-17 a1 s1 p1 clamp1	23.841	79.6755	2.92353	3.72552	26.5148	32.8101
73	HET	+	37	7	5	30-08-17 a1 s1 p0 clamp1	20.3932	106.873	1.1671	4.19615	32.7927	41.5239
74	HET	-	37	7	5	30-08-17 a1 s1 p0 clamp1	34.5742	72.0888	4.47027	4.59019	27.7044	34.1043
75	HET	-	38	8	6	31-08-17 a2 s0 p1 clamp2	56.644	85.411	7.21447	3.66975	41.4979	49.8642
76	HET	+	38	8	6	31-08-17 a2 s0 p1 clamp2	31.3546	91.3561	3.85638	4.81731	44.0271	51.9202
77	HET	-	39	16	5	05-09-17 a2 s0 p2 clamp2	35.3264	52.248	2.64583	4.43506	20.859	27.2083
78	HET	+	39	16	5	05-09-17 a2 s0 p2 clamp2	13.44908	101.222	1.30202	5.83756	29.5501	36.1865
79	HET	-	40	16	5	05-09-17 a2 s0 p1 clamp2	22.3286	30.2358	1.66373	4.60092	21.8611	27.1734
80	HET	+	40	16	5	05-09-17 a2 s0 p1 clamp2	9.58622	55.782	0.67416	3.87408	25.7988	33.3325
81	HET	+	41	17	5	05-09-17 a2 s1 p1 clamp1	50.3112	101.914	5.85204	4.94395	38.7314	46.5258
82	HET	-	41	17	5	05-09-17 a2 s1 p1 clamp1	42.9912	91.0236	3.75521	4.63317	27.4392	34.3997
83	HET	+	42	17	5	05-09-17 a2 s1 p0 clamp1	45.651	87.9138	6.17994	4.89645	33.2424	40.4126
84	HET	-	42	17	5	05-09-17 a2 s1 p0 clamp1	78.9802	59.3205	7.54335	4.75359	28.9131	35.533
85	HET	+	43	1	1	19/07/17 s0 p0	106.2606	210.16	20.9224	4.94373	127.13	140.61
86	HET	-	43	1	1	19/07/17 s0 p0	118.216	133.881	16.0734	3.91847	74.4922	81.5884
87	HET	+	44	2	2	20/07/17 s0 p0	81.5698	110.35	9.63768	3.2367	47.6801	54.5795
88	HET	-	44	2	2	20/07/17 s0 p0	134.718	76.2739	13.541	2.54901	29.893	34.2583
89	HET	+	45	3	2	20/07/17 s1 p1	80.696	99.9828	10.378	3.51267	58.9718	65.2515
90	HET	-	45	3	2	20/07/17 s1 p1	94.0268	74.0727	9.58085	3.52655	44.8146	51.5941
91	HET	+	46	4	3	21/07/17 s0 p2	72.9276	112.845	9.13058	3.50208	52.1938	58.8262
92	HET	-	46	4	3	21/07/17 s0 p2	71.7558	97.5194	9.96232	3.32208	56.5555	62.2595
93	HET	+	47	4	3	21/07/17 s0 p3	124.5612	155.702	21.3388	3.94747	60.8136	69.4756
94	HET	-	47	4	3	21/07/17 s0 p3	73.0954	166.997	11.739	3.71947	55.6133	62.0831
95	HET	+	48	4	3	21/07/17 s0 p1	58.841	157.839	8.55901	4.10892	59.8087	68.826
96	HET	-	48	4	3	21/07/17 s0 p1	87.7966	117.66	10.5647	3.57605	44.5276	50.5901
97	HET	+	49	4	3	21/07/17 s0 p0	52.7348	106.118	7.17415	3.47851	36.1105	42.2725
98	HET	-	49	4	3	21/07/17 s0 p0	58.5828	74.3727	6.26066	3.23617	32.2442	37.1537
99	HET	+	50	5	4	14-08-17 s0 p0	60.8628	87.5499	6.28076	3.80492	37.1892	44.7834
100	HET	-	50	5	4	14-08-17 s0 p0	91.368	58.3434	8.75983	3.17965	32.5311	38.6529
101	HET	+	51	10	1	19/07/17 s0 p1	60.0338	203.823	13.064	4.0142	96.2597	103.009
102	HET	-	51	10	1	19/07/17 s0 p1	60.8512	186.587	12.7909	3.88574	82.0107	88.9547
103	HET	+	52	11	2	20/07/17 s0 p2	103.8344	148.604	19.6207	3.63885	58.9835	65.2627
104	HET	-	52	11	2	20/07/17 s0 p2	106.2582	93.7046	14.7543	3.3146	40.3329	46.0621
105	HET	+	53	11	2	20/07/17 s0 p4	118.8772	200.994	23.9613	3.79677	85.0904	91.6901
106	HET	-	53	11	2	20/07/17 s0 p4	74.6468	141.417	10.3588	3.76233	57.1049	63.433
107	HET	+	54	11	2	20/07/17 s0 p3	87.8382	137.738	15.167	3.61358	54.2572	60.9075
108	HET	-	54	11	2	20/07/17 s0 p3	71.6832	99.4986	9.30132	3.41085	37.2164	43.451
109	HET	+	55	11	2	20/07/17 s0 p1	57.3492	109.487	9.87904	4.13425	54.4989	62.4881
110	HET	-	55	11	2	20/07/17 s0 p1	71.6376	118.566	12.5673	3.46243	47.4592	53.5723
111	HET	+	56	11	2	20/07/17 s0 p0	58.3508	100.145	9.14781	4.02957	43.1396	49.7711
112	HET	-	56	11	2	20/07/17 s0 p0	64.788	88.9284	7.18161	4.31233	29.6692	36.1743
113	HET	+	57	12	3	21/07/17 s0 p2	60.8028	91.2125	7.57532	3.43184	40.3244	46.9951
114	HET	-	57	12	3	21/07/17 s0 p2	117.0508	93.0288	14.1029	3.37669	42.5407	48.144
115	HET	+	58	12	3	21/07/17 s0 p1	73.7974	107.737	8.85898	3.31886	43.0398	49.2151
116	HET	-	58	12	3	21/07/17 s0 p1	62.2528	79.0403	7.4736	3.54338	36.386	43.5217
117	HET	+	59	12	3	21/07/17 s0 p0	103.8216	99.9831	14.2896	3.65045	43.4906	48.965
118	HET	-	59	12	3	21/07/17 s0 p0	90.0954	85.5072	9.78457	3.03905	30.018	35.2399
119	HET	+	60	13	3	21/07/17 s1 p0	74.4976	96.9041	10.3895	3.54448	42.2264	47.8971
120	HET	-	60	13	3	21/07/17 s1 p0	84.7842	64.144	8.3129	3.17069	28.7165	34.5522
121	HET	+	61	14	3	21/07/17 s2 p1	77.4938	131.962	9.93893	3.97522	51.4335	56.9173
122	HET	-	61	14	3	21/07/17 s2 p1	79.9084	95.1354	9.69531	3.96619	42.412	50.4864
123	HET	+	62	14	3	21/07/17 s2 p0	68.1962	109.897	8.53787	4.34886	43.511	51.2095
124	HET	-	62	14	3	21/07/17 s2 p0	115.1026	83.4664	11.6792	3.92649	34.6038	41.1124
125	HOM	+	63	1	1	15.06.17 s0 p2	73.7442	174.325	15.0337	5.64853	95.4103	104.923
126	HOM	-	63	1	1	15.06.17 s0 p2	117.0608	87.9992	15.2045	4.17482	39.7061	47.6281
127	HOM	+	64	1	1	15.06.17 s0 p3	113.3422	164.168	24.3375	5.1489	102.648	112.355
128	HOM	-	64	1	1	15.06.17 s0 p3	81.7914	99.3565	10.2862	4.01023	42.5499	49.171
129	HOM	+	65	1	1	15.06.17 s0 p0	88.9942	191.663	17.783	4.76629	97.4862	105.595
130	HOM	-	65	1	1	15.06.17 s0 p0	123.7552	63.3958	12.282	4.34813	34.6902	40.0242
131	HOM	+	66	2	1	15.06.17 s1 p0	71.4528	223.501	17.1176	4.42178	132.633	143.735
132	HOM	-	66	2	1	15.06.17 s1 p0	80.896	125.396	10.3282	3.71872	38.9558	45.9564
133	HOM	+	67	9	4	05-10-17 s0 p1	68.1756	305.449	15.8131	4.52366	106.678	117.966
134	HOM	-	67	9	4	05-10-17 s0 p1	125.9294	107.048	13.8951	3.41669	35.9936	42.2836
135	HOM	+	68	10	4	05-10-17 s1 p1	40.086	181.824	6.06664	4.5988	71.476	78.1053
136	HOM	-	68	10	4	05-10-17 s1 p1	37.4806	111.743	1.96528	3.30285	28.7985	34.1282
137	HOM	+	69	11	4	09-10-17 s0 p2	48.535	193.125	10.6432	5.55018	99.4342	108.095
138	HOM	-	69	11	4	09-10-17 s0 p2	88.411	68.2618	9.82022	3.31733	32.2882	38.9149
139	HOM	+	70	11	4	09-10-17 s0 p3	25.8722	153.436	5.84262	5.12476	88.397	100.627
140	HOM	-	70	11	4	09-10-17 s0 p3	47.2672	81.4166	3.27433	3.31876	29.059	34.9017
141	HOM	+	71	11	4	09-10-17 s0 p1	39.4796	170.554	7.11094	4.98824	76.5176	87.8331
142	HOM	-	71	11	4	09-10-17 s0 p1	79.1928	76.7973	6.20801	3.9225	29.5417	36.6805
143	HOM	+	72	11	4	09-10-17 s0 p0	26.558	236.674	5.26784	4.95608	111.173	119.621
144	HOM	-	72	11	4	09-10-17 s0 p0	76.8908	85.9349	5.33602	2.95114	26.5536	32.8647
145	HOM	+	73	7	3	04-09-17 s0 p1	70.8976	250.017	10.9737	4.82084	65.1948	72.6205
146	HOM	-	73	7	3	04-09-17 s0 p1	88.9276	83.1891	10.7502	4.2309	28.5949	34.543
147	HOM	+	74	7	3	04-09-17 s0 p0	27.875	202.989	5.65352	5.71649	92.0111	100.553
148	HOM	-	74	7	3	04-09-17 s0 p0	42.6348	76.8611	5.9066	5.2908	28.5268	34.9913
